department,strategic_pillar,production,metric,question_id,question_text,response_type,options,required,display_order,kpi_type,ai_weight,depends_on,strategic_objectives_id
Corporate,Leadership & Culture,Leadership & Culture,leadership,CORP_LS_Q1,Are all leadership training sessions completed as per requirements from Canadian Heritage?,yes_no,"Yes,No",FALSE,10,staff_experience,1.2,,CORP9
Corporate,Leadership & Culture,Leadership & Culture,leadership,CORP_LS_Q1a,What were the outcomes taught?,text,,FALSE,20,staff_experience,1.2,CORP_LS_Q1,CORP9
Corporate,Leadership & Culture,Leadership & Culture,leadership,CORP_LS_Q1b,How many people completed the training?,number,,FALSE,30,staff_experience,1.2,CORP_LS_Q1,CORP9
Corporate,Leadership & Culture,Leadership & Culture,leadership,CORP_LS_Q1c,"If they weren't all complete, which sessions remain?",text,,FALSE,40,staff_experience,1.2,CORP_LS_Q1=No,CORP9
Corporate,Leadership & Culture,Leadership & Culture,leadership,CORP_LS_Q2,Did you observe notable changes in staff morale or engagement this reporting period?,yes_no,"Yes,No",FALSE,50,staff_experience,1.2,,CORP9
Corporate,Leadership & Culture,Leadership & Culture,leadership,CORP_LS_Q2a,"If yes, what did you observe and how is it affecting teams?",text,,FALSE,60,staff_experience,1.1,CORP_LS_Q2,CORP9
Corporate,Leadership & Culture,Leadership & Culture,leadership,CORP_LS_Q2b,"If not, are there any early warning signs or strengths worth noting?",text,,FALSE,70,staff_experience,1,CORP_LS_Q2=No,CORP9
Corporate,Leadership & Culture,Leadership & Culture,leadership,CORP_LS_Q3,Did all personnel requiring coaching undergo coaching as per requirements from either Canadian Heritage or the Board of Directors?,yes_no,"Yes,No",FALSE,80,leadership_notes,1,,CORP9
Corporate,Leadership & Culture,Leadership & Culture,leadership,CORP_LS_Q3a,"If not, why not?",text,,FALSE,90,leadership_notes,1,CORP_LS_Q3=No,CORP9
Corporate,Leadership & Culture,Leadership & Culture,team_building,CORP_TB_Q1,Were any formal team building events or workshops completed during this period?,yes_no,"Yes,No",FALSE,100,development,1.2,,CORP9
Corporate,Leadership & Culture,Leadership & Culture,team_building,CORP_TB_Q1a,"If yes, describe (how many people, which departments, topics covered)",text,,FALSE,110,development,1.1,CORP_TB_Q1,CORP9
Corporate,Leadership & Culture,Leadership & Culture,team_building,CORP_TB_Q2,Were any leadership retreats implemented during this period?,yes_no,"Yes,No",FALSE,120,development,1,,CORP9
Corporate,Leadership & Culture,Leadership & Culture,team_building,CORP_TB_Q2a,"If yes, describe (how many people, which departments, topics covered)",text,,FALSE,130,development,1,CORP_TB_Q2,CORP9
Corporate,Leadership & Culture,Leadership & Culture,team_building,CORP_TB_Q3,Were any Social Committee events held during this period?,yes_no,"Yes,No",FALSE,140,culture,1.1,,CORP9
Corporate,Leadership & Culture,Leadership & Culture,team_building,CORP_TB_Q3a,"If yes, which departments participated and what were the events?",text,,FALSE,150,culture,1.1,CORP_TB_Q3,CORP9
Corporate,Leadership & Culture,Leadership & Culture,team_building,CORP_TB_Q4,Did your area take any actions this period to strengthen team cohesion or workplace culture?,yes_no,"Yes,No",FALSE,160,culture,1.2,,CORP9
Corporate,Leadership & Culture,Leadership & Culture,team_building,CORP_TB_Q4a,"If yes, what actions did you take and what impact did you see?",text,,FALSE,170,culture,1.1,CORP_TB_Q4,CORP9
Corporate,Leadership & Culture,Leadership & Culture,team_building,CORP_TB_Q4b,"If not, what culture-building efforts do you feel are still needed?",text,,FALSE,180,culture,1,CORP_TB_Q4=No,CORP9
Corporate,Leadership & Culture,Leadership & Culture,team_building,CORP_TB_Q5,"Did we advance any diversity, equity, or inclusion training this reporting period?",yes_no,"Yes,No",FALSE,190,dei,1.2,,CORP9
Corporate,Leadership & Culture,Leadership & Culture,team_building,CORP_TB_Q5a,"If yes, what actions were taken and what outcomes or feedback have you observed?",text,,FALSE,200,dei,1.1,CORP_TB_Q5,CORP9
Corporate,Leadership & Culture,Leadership & Culture,team_building,CORP_TB_Q5b,"If not, what barriers are limiting progress on DEI work?",text,,FALSE,210,dei,1,CORP_TB_Q5=No,CORP9
Corporate,Leadership & Culture,Leadership & Culture,policies,CORP_PL_Q1,Was the Respect in the Workplace Policy updated this period?,yes_no,"Yes,No",FALSE,220,leadership_notes,1,,CORP9
Corporate,Leadership & Culture,Leadership & Culture,policies,CORP_PL_Q1a,"If yes, were there substantive changes required from the last policy?",text,,FALSE,230,leadership_notes,1,CORP_PL_Q1,CORP9
Corporate,Leadership & Culture,Leadership & Culture,policies,CORP_PL_Q1b,"If not, why not?",text,,FALSE,240,leadership_notes,1,CORP_PL_Q1=No,CORP9
Corporate,Leadership & Culture,Leadership & Culture,policies,CORP_PL_Q2,Were all Employee Handbooks completed for this period?,yes_no,"Yes,No",FALSE,250,leadership_notes,1,,CORP9
Corporate,Leadership & Culture,Leadership & Culture,policies,CORP_PL_Q2a,"If not, why not?",text,,FALSE,260,leadership_notes,1,CORP_PL_Q2=No,CORP9
Corporate,Leadership & Culture,Leadership & Culture,policies,CORP_PL_Q3,Were the School Teaching Guidelines updated for this period?,yes_no,"Yes,No",FALSE,270,leadership_notes,1,,CORP9
Corporate,Leadership & Culture,Leadership & Culture,policies,CORP_PL_Q3a,"If not, why not?",text,,FALSE,280,leadership_notes,1,CORP_PL_Q3=No,CORP9
Corporate,Governance & Board Oversight,Governance & Board Oversight,workplace_culture,CORP_WC_Q1,Were employee engagement surveys completed for this period?,yes_no,"Yes,No",FALSE,290,governance,1.2,,CORP11
