department,production_name,season,startdate,enddate
Artistic,Productions,2025-26,2025-09-11,2025-09-20
Artistic,Recruitment,2025-26,2025-09-01,2026-06-30
Artistic,Financial,2025-26,2025-09-01,2026-08-31
School,Training,2025-26,2025-09-01,2026-08-31
School,Recruitment,2025-26,2025-09-01,2026-08-31
School,Financial,2025-26,2025-09-01,2026-08-31
Community,Recreational Classes - Calgary,2025-26,2025-09-01,2026-06-30
Community,Recreational Classes - Edmonton,2025-26,2025-09-01,2026-06-30
Community,Recreational Classes - Provincial,2025-26,2025-09-01,2026-06-30
Community,Community Programs,2025-26,2025-09-01,2026-08-31
Corporate,Global Presence,2025-26,2025-09-01,2026-08-31
Corporate,Marketing and Sales,2025-26,2025-09-01,2026-08-31
Corporate,Leadership & Culture,2025-26,2025-09-01,2026-08-31
Corporate,Governance & Board Oversight,2025-26,2025-09-01,2026-08-31
